"id","url","ip","host","date","browser","referrer","domain","searchTerms"
"648750","/2011/01/hamra-abbas/","3475948528","msnbot-207-46-195-240.search.msn.com","1325522686","Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)",,,NULL
"648755","/2011/08/pathways-to-stable-housing/","1123631800","crawl-66-249-66-184.googlebot.com","1325522883","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648756","/2011/06/brandon-alvendia-thoughts-unsaid-then-forgotten/","1123631800","crawl-66-249-66-184.googlebot.com","1325522886","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648760","/2011/07/29/stephen-coorlas-and-dominic-peternel-calculated-aesthetic-image/","1123633069","crawl-66-249-71-173.googlebot.com","1325523044","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648763","/2011/10/ryan-travis-christian-the-river-rats/","1123633009","crawl-66-249-71-113.googlebot.com","1325523119","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648764","/2011/05/milan-redux/","1123631800","crawl-66-249-66-184.googlebot.com","1325523150","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648765","/feed/atom/","1667032315","99-92-228-251.lightspeed.cicril.sbcglobal.net","1325523178","Apple-PubSub/65.28",,,NULL
"648766","/2011/06/hope-esser-and-christalena-hughmanick-retracing/","1123631800","crawl-66-249-66-184.googlebot.com","1325523207","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648768","/2011/08/eternity-the-rave-and-club-flyer-collection-of-bridgette-buckley/","1123631800","crawl-66-249-66-184.googlebot.com","1325523410","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648778","/2011/03/19/you-can-never-step-into-the-same-river-twice/","1123631859","crawl-66-249-66-243.googlebot.com","1325523588","Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",,,NULL
"648777","/2010/10/21/","3024881173","180.76.6.21","1325523564","Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)",,,NULL
